연도,전담기관,공고명,공고일,상태
2022,한국에너지기술평가원,2022년도 한-스페인 에너지국제공동연구사업 신규지원 대상과제 공고,2022-04-11 ~ 2022-05-25,접수마감
2022,한국에너지기술평가원,2022년도「기술혁신형에너지강소기업육성(R&D) 사업 신규지원 대상과제 공고,2022-04-13 ~ 2022-05-23,접수마감
2022,한국에너지공단,2022년도 제2차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 공고,2022-05-02 ~ 2022-05-16,접수마감
2022,한국에너지기술평가원,2022년도 상반기 에너지기술정책수립사업 신규지원 대상 과제 공고,2022-05-06 ~ 2022-06-07,접수마감
2022,한국에너지기술평가원,2022년도 가동원전 안전성향상 핵심기술개발사업 신규지원 대상 연구개발과제 2차 공고,2022-05-09 ~ 2022-06-09,접수마감
2022,한국에너지기술평가원,2022년도 제2차 에너지기술개발사업 신규지원대상과제 공고,2022-05-11 ~ 2022-06-15,접수마감
2022,한국에너지기술평가원,2022년 전력정보화 및 정책지원사업 집중 수요조사 공고,2022-05-17 ~ 2022-05-30,접수마감
2022,한국에너지공단,신재생에너지 표준화 및 인증고도화 지원사업 2022년도 신규지원 대상과제 공고,2022-05-18 ~ 2022-05-19,접수마감
2022,한국에너지기술평가원,"2022년 에너지국제공동연구사업(노르웨이,체코) 신규지원 대상과제 공고",2022-05-23 ~ 2022-07-13,접수마감
2022,한국에너지기술평가원,2022년도 상반기 에너지기술정책수립사업 신규지원 대상 과제 수정공고,2022-05-26 ~ 2022-06-27,접수마감
2022,한국에너지공단,신재생에너지 표준화 및 인증고도화 지원사업 2022년도 신규지원 대상과제 재공고,2022-06-03 ~ 2022-06-22,접수마감
2022,한국에너지기술평가원,2022년도 제3차 에너지기술개발사업 신규지원대상과제 공고,2022-06-30 ~ 2022-08-29,접수마감
2022,한국에너지기술평가원,「LNG 냉열 활용 냉매물류단지 기반 구축사업」 보조사업자 모집 공고,2022-07-19 ~ 2022-08-17,접수마감
2022,한국에너지기술평가원,2022년도 에너지인력양성사업 신규지원 대상과제 3차공고,2022-08-01 ~ 2022-08-30,접수마감
2022,한국에너지기술평가원,2022년도 하반기 에너지기술정책수립사업 신규지원 대상 과제 공고,2022-08-05 ~ 2022-09-05,접수마감
2022,한국에너지기술평가원,2022년 에너지국제공동연구사업 신규지원 대상과제 공고,2022-08-24 ~ 2022-10-07,접수마감
2022,한국에너지기술평가원,2022년도 전력정보화 및 정책지원(전력기술기반구축) 신규지원 대상과제 공고,2022-09-01 ~ 2022-10-04,접수마감
2022,한국에너지공단,2022년도 제3차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 공고,2022-09-02 ~ 2022-09-19,접수마감
2022,한국에너지기술평가원,2022년도 포항 지열발전부지 안전관리사업 신규지원 대상과제 공고,2022-09-19 ~ 2022-10-07,접수마감
2022,한국에너지기술평가원,2022년도 제4차 신재생에너지핵심기술개발사업 신규지원 대상 연구개발과제 공고,2022-09-21 ~ 2022-10-21,접수마감
2022,한국에너지기술평가원,2022년도 하반기 공공에너지 선도투자 및 신사업 창출 지원사업 신규지원 대상 연구개발과제 공고,2022-10-07 ~ 2022-11-07,접수마감
2022,한국에너지기술평가원,에너지특화기업 지정 신청 공고,2022-10-25 ~ 2022-11-23,접수마감
2022,한국에너지공단,2022년도 4차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 공고,2022-10-31 ~ 2022-11-14,접수마감
2022,한국에너지공단,2022년도 4차 「전력정보화 및 정책지원사업(신재생에너지 분야)」 신규지원 대상과제 재공고,2022-11-16 ~ 2022-11-21,접수마감
2022,한국에너지기술평가원,2022년도 포항 지열발전부지 안전관리사업 신규지원 대상과제 재공고,2022-11-16 ~ 2022-12-16,접수마감
2022,한국에너지기술평가원,2023년 한-중 에너지국제공동연구사업 신규지원 대상과제 공고,2022-11-23 ~ 2022-12-30,접수마감
2022,한국에너지기술평가원,2023년도 포항 지열발전부지 안전관리사업 신규지원 대상과제 공고,2022-12-30 ~ 2023-01-30,접수마감
2022,한국에너지기술평가원,2023년 한-중 에너지국제공동연구사업 신규지원 대상과제 연장 공고,2022-12-30 ~ 2023-01-30,접수마감
2023,한국에너지기술평가원,2023년도 1차 에너지기술개발사업 신규지원대상 연구개발과제 공고,2023-01-27 ~ 2023-03-03,접수마감
2023,한국에너지기술평가원,2023년도 1차 원전해체경쟁력강화기술개발사업 신규지원대상 연구개발과제 공고,2023-01-27 ~ 2023-03-07,접수마감
2023,한국에너지기술평가원,2023년도「기술혁신형에너지강소기업육성(R&D)」사업 신규지원 대상과제 공고,2023-01-27 ~ 2023-03-10,접수마감
2023,한국에너지기술평가원,2023년도「에너지기술 수용성 제고 및 사업화 촉진」사업 신규지원 대상과제 공고,2023-01-27 ~ 2023-03-30,접수마감
2023,한국에너지공단,2023년도 1차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 공고,2023-02-10 ~ 2023-02-24,접수마감
2023,한국에너지기술평가원,2023년도 「차세대친환경바이오연료생산기술개발사업」 신규지원 대상과제 공고,2023-02-16 ~ 2023-03-17,접수마감
2023,한국에너지공단,2023년도 1차 「전력정보화 및 정책지원사업(신재생에너지분야)」 신규지원 대상과제 재공고,2023-03-02 ~ 2023-03-10,접수마감
2023,한국에너지기술평가원,2023년도 혁신형 소형모듈원자로 기술개발사업 신규과제 공고,2023-03-03 ~ 2023-04-03,접수마감
2023,한국에너지공단,2023년도 신재생에너지 표준화 및 인증고도화지원 신규과제 공고,2023-03-10 ~ 2023-04-08,접수마감
2023,한국에너지기술평가원,국제에너지기구(IEA) 기술협력 활동전문가 모집 공모,2023-03-13 ~ 2023-04-07,접수마감
2023,한국에너지기술평가원,2023년 한-스페인 에너지국제공동연구사업 신규지원 대상과제 공고,2023-03-14 ~ 2023-05-19,접수마감
2023,한국에너지기술평가원,2023년도 한-영국 국제공동기술개발사업 공동 공고,2023-03-15 ~ 2023-06-07,접수마감
2023,한국에너지기술평가원,2023년도 포항 지열발전부지 안전관리사업 신규지원 대상과제 공고,2023-04-03 ~ 2023-05-12,접수마감
2023,한국에너지기술평가원,2023년도 2차 에너지인력양성사업 신규지원대상 연구개발과제 공고,2023-04-28 ~ 2023-05-29,접수마감
2023,한국에너지기술평가원,2023년도 2차 에너지인력양성사업 신규지원대상 연구개발과제 공고(기간 연장),2023-04-28 ~ 2023-05-30,접수마감
2023,한국에너지공단,2023년도 2차 「전력정보화 및 정책지원사업 (신재생에너지 분야)」 신규지원 대상과제 공고,2023-05-02 ~ 2023-05-16,접수마감
2023,한국에너지기술평가원,2023년도 에너지기술정책수립사업 신규지원 대상 과제 공고,2023-05-11 ~ 2023-06-12,접수마감
2023,한국에너지기술평가원,2023년 한-체코 에너지국제공동연구사업 신규지원 대상과제 공고,2023-05-17 ~ 2023-07-19,접수마감
2023,한국에너지기술평가원,2023년도 1차 전력분야 에너지기술개발사업 신규지원대상 연구개발과제 공고,2023-05-19 ~ 2023-06-19,접수마감
2023,한국에너지기술평가원,2023년도 에너지기술개발사업 자원분야 신규지원대상 연구개발과제 공고,2023-05-19 ~ 2023-06-19,접수마감
2023,한국에너지기술평가원,2023년도 1차 원전해체경쟁력강화기술개발사업 신규지원 대상 연구개발과제 재공고,2023-05-23 ~ 2023-06-15,접수마감
2023,한국에너지기술평가원,2023년 한-폴란드 에너지국제공동연구사업 신규지원 대상과제 공고,2023-06-07 ~ 2023-09-07,접수마감
2023,한국에너지공단,2023년도 신재생에너지 표준화 및 인증고도화 지원사업 2차 신규지원 대상과제 공고,2023-06-08 ~ 2023-07-07,접수마감
2023,한국에너지기술평가원,「청정수소 생산을 위한 기반 기술개발 및 실증사업」 통합 실증설비 구축 지자체 선정 공고,2023-06-21 ~ 2023-07-20,접수마감
